第 0 点 - 坐标: [237.4695, 0.0000], 绝对半径: 237.4695, 绝对角度: 0.0000, 绝对半径差值: 0.0000, 增量半径差值: 0.0000, 增量角度差值: 0.0000
第 1066 点 - 坐标: [-67.6616, -227.7361], 绝对半径: 237.5749, 绝对角度: 106.5470, 绝对半径差值: 0.1054, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1067 点 - 坐标: [-68.0591, -227.6177], 绝对半径: 237.5750, 绝对角度: 106.6470, 绝对半径差值: 0.1055, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1068 点 - 坐标: [-68.4565, -227.4986], 绝对半径: 237.5751, 绝对角度: 106.7470, 绝对半径差值: 0.1056, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1069 点 - 坐标: [-68.8536, -227.3789], 绝对半径: 237.5752, 绝对角度: 106.8471, 绝对半径差值: 0.1057, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1070 点 - 坐标: [-69.2505, -227.2584], 绝对半径: 237.5753, 绝对角度: 106.9471, 绝对半径差值: 0.1058, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1071 点 - 坐标: [-69.6472, -227.1372], 绝对半径: 237.5754, 绝对角度: 107.0471, 绝对半径差值: 0.1059, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1072 点 - 坐标: [-70.0437, -227.0154], 绝对半径: 237.5755, 绝对角度: 107.1472, 绝对半径差值: 0.1060, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1073 点 - 坐标: [-70.4400, -226.8928], 绝对半径: 237.5756, 绝对角度: 107.2472, 绝对半径差值: 0.1061, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1074 点 - 坐标: [-70.8361, -226.7696], 绝对半径: 237.5756, 绝对角度: 107.3473, 绝对半径差值: 0.1061, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1075 点 - 坐标: [-71.2320, -226.6456], 绝对半径: 237.5757, 绝对角度: 107.4473, 绝对半径差值: 0.1062, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1076 点 - 坐标: [-71.6276, -226.5210], 绝对半径: 237.5758, 绝对角度: 107.5473, 绝对半径差值: 0.1063, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1077 点 - 坐标: [-72.0230, -226.3957], 绝对半径: 237.5759, 绝对角度: 107.6474, 绝对半径差值: 0.1064, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1078 点 - 坐标: [-72.4182, -226.2697], 绝对半径: 237.5760, 绝对角度: 107.7474, 绝对半径差值: 0.1065, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1079 点 - 坐标: [-72.8132, -226.1430], 绝对半径: 237.5761, 绝对角度: 107.8475, 绝对半径差值: 0.1066, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1080 点 - 坐标: [-73.2080, -226.0156], 绝对半径: 237.5762, 绝对角度: 107.9475, 绝对半径差值: 0.1067, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1081 点 - 坐标: [-73.6025, -225.8875], 绝对半径: 237.5763, 绝对角度: 108.0475, 绝对半径差值: 0.1068, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1082 点 - 坐标: [-73.9968, -225.7588], 绝对半径: 237.5764, 绝对角度: 108.1476, 绝对半径差值: 0.1069, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1083 点 - 坐标: [-74.3909, -225.6293], 绝对半径: 237.5765, 绝对角度: 108.2476, 绝对半径差值: 0.1070, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1084 点 - 坐标: [-74.7848, -225.4992], 绝对半径: 237.5766, 绝对角度: 108.3476, 绝对半径差值: 0.1071, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1085 点 - 坐标: [-75.1784, -225.3683], 绝对半径: 237.5767, 绝对角度: 108.4477, 绝对半径差值: 0.1072, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1086 点 - 坐标: [-75.5718, -225.2368], 绝对半径: 237.5768, 绝对角度: 108.5477, 绝对半径差值: 0.1073, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1087 点 - 坐标: [-75.9650, -225.1046], 绝对半径: 237.5769, 绝对角度: 108.6478, 绝对半径差值: 0.1074, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1088 点 - 坐标: [-76.3580, -224.9717], 绝对半径: 237.5770, 绝对角度: 108.7478, 绝对半径差值: 0.1075, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1089 点 - 坐标: [-76.7507, -224.8382], 绝对半径: 237.5771, 绝对角度: 108.8478, 绝对半径差值: 0.1076, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1090 点 - 坐标: [-77.1432, -224.7039], 绝对半径: 237.5772, 绝对角度: 108.9479, 绝对半径差值: 0.1077, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1091 点 - 坐标: [-77.5354, -224.5689], 绝对半径: 237.5773, 绝对角度: 109.0479, 绝对半径差值: 0.1078, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1092 点 - 坐标: [-77.9274, -224.4333], 绝对半径: 237.5773, 绝对角度: 109.1479, 绝对半径差值: 0.1078, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1093 点 - 坐标: [-78.3192, -224.2970], 绝对半径: 237.5774, 绝对角度: 109.2480, 绝对半径差值: 0.1079, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1094 点 - 坐标: [-78.7107, -224.1600], 绝对半径: 237.5775, 绝对角度: 109.3480, 绝对半径差值: 0.1080, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1095 点 - 坐标: [-79.1020, -224.0223], 绝对半径: 237.5776, 绝对角度: 109.4481, 绝对半径差值: 0.1081, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1096 点 - 坐标: [-79.4930, -223.8840], 绝对半径: 237.5777, 绝对角度: 109.5481, 绝对半径差值: 0.1082, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1097 点 - 坐标: [-79.8839, -223.7449], 绝对半径: 237.5778, 绝对角度: 109.6481, 绝对半径差值: 0.1083, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1098 点 - 坐标: [-80.2744, -223.6052], 绝对半径: 237.5779, 绝对角度: 109.7482, 绝对半径差值: 0.1084, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1099 点 - 坐标: [-80.6647, -223.4648], 绝对半径: 237.5780, 绝对角度: 109.8482, 绝对半径差值: 0.1085, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1100 点 - 坐标: [-81.0548, -223.3237], 绝对半径: 237.5781, 绝对角度: 109.9482, 绝对半径差值: 0.1086, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1101 点 - 坐标: [-81.4446, -223.1819], 绝对半径: 237.5782, 绝对角度: 110.0483, 绝对半径差值: 0.1087, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1102 点 - 坐标: [-81.8342, -223.0395], 绝对半径: 237.5783, 绝对角度: 110.1483, 绝对半径差值: 0.1088, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1103 点 - 坐标: [-82.2236, -222.8963], 绝对半径: 237.5784, 绝对角度: 110.2484, 绝对半径差值: 0.1089, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1104 点 - 坐标: [-82.6126, -222.7525], 绝对半径: 237.5785, 绝对角度: 110.3484, 绝对半径差值: 0.1090, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1105 点 - 坐标: [-83.0015, -222.6080], 绝对半径: 237.5786, 绝对角度: 110.4484, 绝对半径差值: 0.1091, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1106 点 - 坐标: [-83.3900, -222.4629], 绝对半径: 237.5787, 绝对角度: 110.5485, 绝对半径差值: 0.1092, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1107 点 - 坐标: [-83.7784, -222.3170], 绝对半径: 237.5788, 绝对角度: 110.6485, 绝对半径差值: 0.1093, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1108 点 - 坐标: [-84.1664, -222.1705], 绝对半径: 237.5789, 绝对角度: 110.7485, 绝对半径差值: 0.1094, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1109 点 - 坐标: [-84.5542, -222.0233], 绝对半径: 237.5790, 绝对角度: 110.8486, 绝对半径差值: 0.1094, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1110 点 - 坐标: [-84.9418, -221.8754], 绝对半径: 237.5790, 绝对角度: 110.9486, 绝对半径差值: 0.1095, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1111 点 - 坐标: [-85.3291, -221.7268], 绝对半径: 237.5791, 绝对角度: 111.0487, 绝对半径差值: 0.1096, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1112 点 - 坐标: [-85.7161, -221.5776], 绝对半径: 237.5792, 绝对角度: 111.1487, 绝对半径差值: 0.1097, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1113 点 - 坐标: [-86.1029, -221.4277], 绝对半径: 237.5793, 绝对角度: 111.2487, 绝对半径差值: 0.1098, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1114 点 - 坐标: [-86.4894, -221.2771], 绝对半径: 237.5794, 绝对角度: 111.3488, 绝对半径差值: 0.1099, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1115 点 - 坐标: [-86.8756, -221.1259], 绝对半径: 237.5795, 绝对角度: 111.4488, 绝对半径差值: 0.1100, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1116 点 - 坐标: [-87.2616, -220.9739], 绝对半径: 237.5796, 绝对角度: 111.5488, 绝对半径差值: 0.1101, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1117 点 - 坐标: [-87.6473, -220.8213], 绝对半径: 237.5797, 绝对角度: 111.6489, 绝对半径差值: 0.1102, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1118 点 - 坐标: [-88.0328, -220.6681], 绝对半径: 237.5798, 绝对角度: 111.7489, 绝对半径差值: 0.1103, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1119 点 - 坐标: [-88.4180, -220.5141], 绝对半径: 237.5799, 绝对角度: 111.8490, 绝对半径差值: 0.1104, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1120 点 - 坐标: [-88.8029, -220.3595], 绝对半径: 237.5800, 绝对角度: 111.9490, 绝对半径差值: 0.1105, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1121 点 - 坐标: [-89.1875, -220.2042], 绝对半径: 237.5801, 绝对角度: 112.0490, 绝对半径差值: 0.1106, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1122 点 - 坐标: [-89.5719, -220.0482], 绝对半径: 237.5802, 绝对角度: 112.1491, 绝对半径差值: 0.1107, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1123 点 - 坐标: [-89.9560, -219.8916], 绝对半径: 237.5803, 绝对角度: 112.2491, 绝对半径差值: 0.1108, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1124 点 - 坐标: [-90.3398, -219.7343], 绝对半径: 237.5804, 绝对角度: 112.3491, 绝对半径差值: 0.1109, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1125 点 - 坐标: [-90.7234, -219.5763], 绝对半径: 237.5805, 绝对角度: 112.4492, 绝对半径差值: 0.1110, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1126 点 - 坐标: [-91.1066, -219.4176], 绝对半径: 237.5806, 绝对角度: 112.5492, 绝对半径差值: 0.1111, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1127 点 - 坐标: [-91.4896, -219.2583], 绝对半径: 237.5806, 绝对角度: 112.6492, 绝对半径差值: 0.1111, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1128 点 - 坐标: [-91.8723, -219.0983], 绝对半径: 237.5807, 绝对角度: 112.7493, 绝对半径差值: 0.1112, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1129 点 - 坐标: [-92.2548, -218.9377], 绝对半径: 237.5808, 绝对角度: 112.8493, 绝对半径差值: 0.1113, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1130 点 - 坐标: [-92.6369, -218.7764], 绝对半径: 237.5809, 绝对角度: 112.9494, 绝对半径差值: 0.1114, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1131 点 - 坐标: [-93.0188, -218.6144], 绝对半径: 237.5810, 绝对角度: 113.0494, 绝对半径差值: 0.1115, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1132 点 - 坐标: [-93.4004, -218.4517], 绝对半径: 237.5811, 绝对角度: 113.1494, 绝对半径差值: 0.1116, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1133 点 - 坐标: [-93.7817, -218.2884], 绝对半径: 237.5812, 绝对角度: 113.2495, 绝对半径差值: 0.1117, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1134 点 - 坐标: [-94.1627, -218.1244], 绝对半径: 237.5813, 绝对角度: 113.3495, 绝对半径差值: 0.1118, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1135 点 - 坐标: [-94.5434, -217.9598], 绝对半径: 237.5814, 绝对角度: 113.4495, 绝对半径差值: 0.1119, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1136 点 - 坐标: [-94.9239, -217.7945], 绝对半径: 237.5815, 绝对角度: 113.5496, 绝对半径差值: 0.1120, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1137 点 - 坐标: [-95.3040, -217.6285], 绝对半径: 237.5816, 绝对角度: 113.6496, 绝对半径差值: 0.1121, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1138 点 - 坐标: [-95.6839, -217.4618], 绝对半径: 237.5817, 绝对角度: 113.7496, 绝对半径差值: 0.1122, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1139 点 - 坐标: [-96.0635, -217.2945], 绝对半径: 237.5818, 绝对角度: 113.8497, 绝对半径差值: 0.1123, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1140 点 - 坐标: [-96.4427, -217.1266], 绝对半径: 237.5819, 绝对角度: 113.9497, 绝对半径差值: 0.1124, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1141 点 - 坐标: [-96.8217, -216.9579], 绝对半径: 237.5820, 绝对角度: 114.0498, 绝对半径差值: 0.1125, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1142 点 - 坐标: [-97.2004, -216.7886], 绝对半径: 237.5821, 绝对角度: 114.1498, 绝对半径差值: 0.1126, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1143 点 - 坐标: [-97.5788, -216.6187], 绝对半径: 237.5822, 绝对角度: 114.2498, 绝对半径差值: 0.1127, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1144 点 - 坐标: [-97.9569, -216.4481], 绝对半径: 237.5823, 绝对角度: 114.3499, 绝对半径差值: 0.1128, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1145 点 - 坐标: [-98.3347, -216.2768], 绝对半径: 237.5823, 绝对角度: 114.4499, 绝对半径差值: 0.1128, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1146 点 - 坐标: [-98.7122, -216.1049], 绝对半径: 237.5824, 绝对角度: 114.5499, 绝对半径差值: 0.1129, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1147 点 - 坐标: [-99.0894, -215.9323], 绝对半径: 237.5825, 绝对角度: 114.6500, 绝对半径差值: 0.1130, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1148 点 - 坐标: [-99.4663, -215.7590], 绝对半径: 237.5826, 绝对角度: 114.7500, 绝对半径差值: 0.1131, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1149 点 - 坐标: [-99.8429, -215.5851], 绝对半径: 237.5827, 绝对角度: 114.8500, 绝对半径差值: 0.1132, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1150 点 - 坐标: [-100.2192, -215.4106], 绝对半径: 237.5828, 绝对角度: 114.9501, 绝对半径差值: 0.1133, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1151 点 - 坐标: [-100.5952, -215.2354], 绝对半径: 237.5829, 绝对角度: 115.0501, 绝对半径差值: 0.1134, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1152 点 - 坐标: [-100.9708, -215.0595], 绝对半径: 237.5830, 绝对角度: 115.1501, 绝对半径差值: 0.1135, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1153 点 - 坐标: [-101.3462, -214.8829], 绝对半径: 237.5831, 绝对角度: 115.2502, 绝对半径差值: 0.1136, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1154 点 - 坐标: [-101.7213, -214.7058], 绝对半径: 237.5832, 绝对角度: 115.3502, 绝对半径差值: 0.1137, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1155 点 - 坐标: [-102.0960, -214.5279], 绝对半径: 237.5833, 绝对角度: 115.4503, 绝对半径差值: 0.1138, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1156 点 - 坐标: [-102.4704, -214.3494], 绝对半径: 237.5834, 绝对角度: 115.5503, 绝对半径差值: 0.1139, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1157 点 - 坐标: [-102.8446, -214.1703], 绝对半径: 237.5835, 绝对角度: 115.6503, 绝对半径差值: 0.1140, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1158 点 - 坐标: [-103.2184, -213.9905], 绝对半径: 237.5836, 绝对角度: 115.7504, 绝对半径差值: 0.1141, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1159 点 - 坐标: [-103.5919, -213.8100], 绝对半径: 237.5837, 绝对角度: 115.8504, 绝对半径差值: 0.1142, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1160 点 - 坐标: [-103.9651, -213.6289], 绝对半径: 237.5838, 绝对角度: 115.9504, 绝对半径差值: 0.1143, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1161 点 - 坐标: [-104.3379, -213.4471], 绝对半径: 237.5839, 绝对角度: 116.0505, 绝对半径差值: 0.1144, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1162 点 - 坐标: [-104.7105, -213.2647], 绝对半径: 237.5840, 绝对角度: 116.1505, 绝对半径差值: 0.1145, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1163 点 - 坐标: [-105.0827, -213.0817], 绝对半径: 237.5840, 绝对角度: 116.2505, 绝对半径差值: 0.1145, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1164 点 - 坐标: [-105.4546, -212.8980], 绝对半径: 237.5841, 绝对角度: 116.3506, 绝对半径差值: 0.1146, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1165 点 - 坐标: [-105.8262, -212.7136], 绝对半径: 237.5842, 绝对角度: 116.4506, 绝对半径差值: 0.1147, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1166 点 - 坐标: [-106.1975, -212.5286], 绝对半径: 237.5843, 绝对角度: 116.5506, 绝对半径差值: 0.1148, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1167 点 - 坐标: [-106.5684, -212.3430], 绝对半径: 237.5844, 绝对角度: 116.6507, 绝对半径差值: 0.1149, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1168 点 - 坐标: [-106.9390, -212.1567], 绝对半径: 237.5845, 绝对角度: 116.7507, 绝对半径差值: 0.1150, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1169 点 - 坐标: [-107.3093, -211.9697], 绝对半径: 237.5846, 绝对角度: 116.8507, 绝对半径差值: 0.1151, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1170 点 - 坐标: [-107.6793, -211.7821], 绝对半径: 237.5847, 绝对角度: 116.9508, 绝对半径差值: 0.1152, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1171 点 - 坐标: [-108.0489, -211.5939], 绝对半径: 237.5848, 绝对角度: 117.0508, 绝对半径差值: 0.1153, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1172 点 - 坐标: [-108.4182, -211.4050], 绝对半径: 237.5849, 绝对角度: 117.1508, 绝对半径差值: 0.1154, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1173 点 - 坐标: [-108.7872, -211.2155], 绝对半径: 237.5850, 绝对角度: 117.2509, 绝对半径差值: 0.1155, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1174 点 - 坐标: [-109.1559, -211.0253], 绝对半径: 237.5851, 绝对角度: 117.3509, 绝对半径差值: 0.1156, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1175 点 - 坐标: [-109.5242, -210.8345], 绝对半径: 237.5852, 绝对角度: 117.4509, 绝对半径差值: 0.1157, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1176 点 - 坐标: [-109.8921, -210.6430], 绝对半径: 237.5853, 绝对角度: 117.5510, 绝对半径差值: 0.1158, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1177 点 - 坐标: [-110.2598, -210.4509], 绝对半径: 237.5854, 绝对角度: 117.6510, 绝对半径差值: 0.1159, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1178 点 - 坐标: [-110.6271, -210.2582], 绝对半径: 237.5855, 绝对角度: 117.7511, 绝对半径差值: 0.1160, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1179 点 - 坐标: [-110.9941, -210.0648], 绝对半径: 237.5856, 绝对角度: 117.8511, 绝对半径差值: 0.1161, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1180 点 - 坐标: [-111.3607, -209.8708], 绝对半径: 237.5857, 绝对角度: 117.9511, 绝对半径差值: 0.1162, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1181 点 - 坐标: [-111.7270, -209.6761], 绝对半径: 237.5857, 绝对角度: 118.0512, 绝对半径差值: 0.1162, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1182 点 - 坐标: [-112.0930, -209.4808], 绝对半径: 237.5858, 绝对角度: 118.1512, 绝对半径差值: 0.1163, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1183 点 - 坐标: [-112.4586, -209.2848], 绝对半径: 237.5859, 绝对角度: 118.2512, 绝对半径差值: 0.1164, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1184 点 - 坐标: [-112.8238, -209.0883], 绝对半径: 237.5860, 绝对角度: 118.3513, 绝对半径差值: 0.1165, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1185 点 - 坐标: [-113.1888, -208.8911], 绝对半径: 237.5861, 绝对角度: 118.4513, 绝对半径差值: 0.1166, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1186 点 - 坐标: [-113.5533, -208.6932], 绝对半径: 237.5862, 绝对角度: 118.5513, 绝对半径差值: 0.1167, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1187 点 - 坐标: [-113.9176, -208.4947], 绝对半径: 237.5863, 绝对角度: 118.6514, 绝对半径差值: 0.1168, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1188 点 - 坐标: [-114.2815, -208.2956], 绝对半径: 237.5864, 绝对角度: 118.7514, 绝对半径差值: 0.1169, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1189 点 - 坐标: [-114.6450, -208.0958], 绝对半径: 237.5865, 绝对角度: 118.8514, 绝对半径差值: 0.1170, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1190 点 - 坐标: [-115.0082, -207.8954], 绝对半径: 237.5866, 绝对角度: 118.9515, 绝对半径差值: 0.1171, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1191 点 - 坐标: [-115.3710, -207.6944], 绝对半径: 237.5867, 绝对角度: 119.0515, 绝对半径差值: 0.1172, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1192 点 - 坐标: [-115.7335, -207.4927], 绝对半径: 237.5868, 绝对角度: 119.1515, 绝对半径差值: 0.1173, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1193 点 - 坐标: [-116.0956, -207.2904], 绝对半径: 237.5869, 绝对角度: 119.2516, 绝对半径差值: 0.1174, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1194 点 - 坐标: [-116.4574, -207.0875], 绝对半径: 237.5870, 绝对角度: 119.3516, 绝对半径差值: 0.1175, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1195 点 - 坐标: [-116.8189, -206.8840], 绝对半径: 237.5871, 绝对角度: 119.4516, 绝对半径差值: 0.1176, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1196 点 - 坐标: [-117.1799, -206.6798], 绝对半径: 237.5872, 绝对角度: 119.5517, 绝对半径差值: 0.1177, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1197 点 - 坐标: [-117.5406, -206.4749], 绝对半径: 237.5873, 绝对角度: 119.6517, 绝对半径差值: 0.1178, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1198 点 - 坐标: [-117.9010, -206.2695], 绝对半径: 237.5873, 绝对角度: 119.7517, 绝对半径差值: 0.1178, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1199 点 - 坐标: [-118.2610, -206.0634], 绝对半径: 237.5874, 绝对角度: 119.8518, 绝对半径差值: 0.1179, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1200 点 - 坐标: [-118.6206, -205.8567], 绝对半径: 237.5875, 绝对角度: 119.9518, 绝对半径差值: 0.1180, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1201 点 - 坐标: [-118.9799, -205.6494], 绝对半径: 237.5876, 绝对角度: 120.0518, 绝对半径差值: 0.1181, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1202 点 - 坐标: [-119.3388, -205.4414], 绝对半径: 237.5877, 绝对角度: 120.1519, 绝对半径差值: 0.1182, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1203 点 - 坐标: [-119.6974, -205.2328], 绝对半径: 237.5878, 绝对角度: 120.2519, 绝对半径差值: 0.1183, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1204 点 - 坐标: [-120.0555, -205.0236], 绝对半径: 237.5879, 绝对角度: 120.3519, 绝对半径差值: 0.1184, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1205 点 - 坐标: [-120.4134, -204.8138], 绝对半径: 237.5880, 绝对角度: 120.4520, 绝对半径差值: 0.1185, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1206 点 - 坐标: [-120.7708, -204.6033], 绝对半径: 237.5881, 绝对角度: 120.5520, 绝对半径差值: 0.1186, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1207 点 - 坐标: [-121.1279, -204.3922], 绝对半径: 237.5882, 绝对角度: 120.6520, 绝对半径差值: 0.1187, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1208 点 - 坐标: [-121.4846, -204.1805], 绝对半径: 237.5883, 绝对角度: 120.7521, 绝对半径差值: 0.1188, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1209 点 - 坐标: [-121.8410, -203.9682], 绝对半径: 237.5884, 绝对角度: 120.8521, 绝对半径差值: 0.1189, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1210 点 - 坐标: [-122.1969, -203.7552], 绝对半径: 237.5885, 绝对角度: 120.9521, 绝对半径差值: 0.1190, 增量半径差值: 0.0001, 增量角度差值: 0.1000
第 1211 点 - 坐标: [-122.5525, -203.5417], 绝对半径: 237.5886, 绝对角度: 121.0522, 绝对半径差值: 0.1191, 增量半径差值: 0.0001, 增量角度差值: 0.1000
